";ghi;dni;dhi;temp_air;rh;ws10;TECHNOLOGYNAME_hydro_inflow";Hydro_Reservoir_inflow;PumpedHydro_Closed_inflow;ghi;dni;dhi;temp_air;rh;ws10
"2022-01-03 12:00:00;;;;;;;";0.0;0;105.0;0.0;105.0;10.57;74.4;3.31
"2022-01-03 13:00:00;;;;;;;";0.0;0;84.0;0.0;84.0;10.47;74.4;3.38
"2022-01-03 14:00:00;;;;;;;";0.0;0;61.0;0.0;61.0;9.71;79.9;3.59
"2022-01-03 15:00:00;;;;;;;";0.0;0;16.0;0.0;16.0;9.03;82.85;2.76
"2022-01-03 16:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;7.96;82.7;2.0
"2022-01-03 17:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;6.83;89.0;1.45
"2022-01-03 18:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;6.05;92.3;1.59
"2022-01-03 19:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;5.72;92.3;2.21
"2022-01-03 20:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;5.94;92.3;2.97
"2022-01-03 21:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;5.81;95.75;3.45
"2022-01-03 22:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;5.14;99.4;3.38
"2022-01-03 23:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;4.68;99.4;3.24
"2022-01-04 00:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;4.31;95.75;3.17
"2022-01-04 01:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;4.14;92.2;3.24
"2022-01-04 02:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;3.95;92.2;3.03
"2022-01-04 03:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;3.68;92.15;2.69
"2022-01-04 04:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;3.35;88.75;2.41
"2022-01-04 05:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;2.84;88.7;2.28
"2022-01-04 06:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;2.49;92.15;2.14
"2022-01-04 07:00:00;;;;;;;";0.0;0;93.0;464.52;36.0;2.13;92.1;2.21
"2022-01-04 08:00:00;;;;;;;";0.0;0;245.0;695.25;63.0;3.55;85.45;2.21
"2022-01-04 09:00:00;;;;;;;";0.0;0;354.0;713.59;93.0;5.1;79.3;2.62
"2022-01-04 10:00:00;;;;;;;";0.0;0;442.0;841.98;82.0;6.2;70.85;2.48
"2022-01-04 11:00:00;;;;;;;";0.0;0;470.0;898.46;72.0;6.85;65.85;1.93
"2022-01-04 12:00:00;;;;;;;";0.0;0;433.0;895.47;65.0;7.53;63.5;1.59
"2022-01-04 13:00:00;;;;;;;";0.0;0;324.0;746.23;75.0;7.91;61.2;1.38
"2022-01-04 14:00:00;;;;;;;";0.0;0;194.0;651.53;53.0;7.97;61.2;0.9
"2022-01-04 15:00:00;;;;;;;";0.0;0;33.0;163.82;22.0;7.63;63.5;0.14
"2022-01-04 16:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;5.7;76.4;1.17
"2022-01-04 17:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;3.47;82.25;1.79
"2022-01-04 18:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;1.98;88.65;1.93
"2022-01-04 19:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;1.2;88.6;2.0
"2022-01-04 20:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;0.52;92.0;2.0
"2022-01-04 21:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;0.19;92.0;2.07
"2022-01-04 22:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;0.15;95.6;2.07
"2022-01-04 23:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;0.19;95.65;2.14
"2022-01-05 00:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;0.15;99.4;2.14
"2022-01-05 01:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;0.35;95.65;2.07
"2022-01-05 02:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;0.65;95.65;2.34
