index;lon;lat;alt
NORD;10.03;45.12;29.0
CNOR;13.29;43.4;139.0
CSUD;12.1;42.07;245.0
SUD;16.26;40.93;443.0
CALA;16.33;38.92;54.0
SICI;12.65;37.78;99.0
SARD;8.71;39.55;71.0
