;NORD;CNOR;CSUD;SUD;CALA;SICI;SARD
NORD;0.0;;;;;;
CNOR;;0.0;;;;;
CSUD;;;0.0;;;;
SUD;;;;0.0;;;
CALA;;;;;0.0;;
SICI;;;;;;0.0;
SARD;;;;;;;0.0
