;NORD;CNOR;CSUD;SUD;CALA;SICI;SARD
NORD;0;1;0;0;0;0;0
CNOR;1;0;1;0;0;0;1
CSUD;0;1;0;1;0;0;1
SUD;0;0;1;0;1;0;0
CALA;0;0;0;1;0;1;0
SICI;0;0;0;0;1;0;0
SARD;0;1;1;0;0;0;0
