;NORD;CNOR;CSUD;SUD;CALA;SICI;SARD
NORD;0;4300;0;0;0;0;0
CNOR;4300;0;2900;0;0;0;300
CSUD;0;2900;0;5200;0;0;900
SUD;0;0;5200;0;2400;0;0
CALA;0;0;0;2400;0;1600;1100
SICI;0;0;0;0;1600;0;0
SARD;0;300;900;0;1100;0;0
