";ghi;dni;dhi;temp_air;rh;ws10;TECHNOLOGYNAME_hydro_inflow";Hydro_Reservoir_inflow;PumpedHydro_Closed_inflow;ghi;dni;dhi;temp_air;rh;ws10
"2022-01-03 12:00:00;;;;;;;";0.0;0;447.0;637.69;148.0;14.36;62.55;4.48
"2022-01-03 13:00:00;;;;;;;";0.0;0;332.0;416.09;166.0;14.5;60.4;4.69
"2022-01-03 14:00:00;;;;;;;";0.0;0;240.0;483.15;102.0;14.34;62.55;4.62
"2022-01-03 15:00:00;;;;;;;";0.0;0;90.0;292.73;50.0;13.92;67.15;4.21
"2022-01-03 16:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;12.94;72.05;3.79
"2022-01-03 17:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;12.23;74.6;3.66
"2022-01-03 18:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;11.66;77.3;3.59
"2022-01-03 19:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;11.5;77.3;3.52
"2022-01-03 20:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;11.31;80.1;3.52
"2022-01-03 21:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;11.22;80.1;3.52
"2022-01-03 22:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;11.31;80.1;3.52
"2022-01-03 23:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;11.35;80.1;3.45
"2022-01-04 00:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;11.23;80.1;3.31
"2022-01-04 01:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;11.1;80.1;3.31
"2022-01-04 02:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;11.0;77.2;3.24
"2022-01-04 03:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;10.86;80.05;3.24
"2022-01-04 04:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;10.87;83.0;2.97
"2022-01-04 05:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;10.83;83.0;2.48
"2022-01-04 06:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;10.71;83.0;2.07
"2022-01-04 07:00:00;;;;;;;";0.0;0;61.0;128.91;46.0;10.78;83.0;2.07
"2022-01-04 08:00:00;;;;;;;";0.0;0;157.0;122.49;124.0;11.27;83.05;1.66
"2022-01-04 09:00:00;;;;;;;";0.0;0;242.0;136.61;189.0;12.54;74.7;1.79
"2022-01-04 10:00:00;;;;;;;";0.0;0;357.0;301.76;217.0;13.61;67.15;3.03
"2022-01-04 11:00:00;;;;;;;";0.0;0;280.0;81.27;240.0;14.21;64.85;3.93
"2022-01-04 12:00:00;;;;;;;";0.0;0;222.0;31.87;207.0;14.45;64.85;4.62
"2022-01-04 13:00:00;;;;;;;";0.0;0;278.0;214.42;192.0;14.35;67.25;5.38
"2022-01-04 14:00:00;;;;;;;";0.0;0;48.0;0.0;48.0;14.18;69.75;5.52
"2022-01-04 15:00:00;;;;;;;";0.0;0;63.0;64.7;54.0;13.82;74.85;5.52
"2022-01-04 16:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;13.48;74.85;5.03
"2022-01-04 17:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;13.2;77.5;4.83
"2022-01-04 18:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;13.14;77.5;4.62
"2022-01-04 19:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;13.15;74.75;4.07
"2022-01-04 20:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;12.9;77.45;4.0
"2022-01-04 21:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;12.77;77.45;4.07
"2022-01-04 22:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;12.71;77.45;3.93
"2022-01-04 23:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;12.39;80.2;3.66
"2022-01-05 00:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;12.1;80.2;3.79
"2022-01-05 01:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;11.92;83.1;3.93
"2022-01-05 02:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;11.79;83.1;3.66
"2022-01-05 03:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;11.58;83.1;3.66
"2022-01-05 04:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;11.58;83.1;3.72
"2022-01-05 05:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;11.57;83.1;3.66
"2022-01-05 06:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;11.65;83.1;3.66
"2022-01-05 07:00:00;;;;;;;";0.0;0;33.0;8.58;32.0;12.11;77.35;4.83
"2022-01-05 08:00:00;;;;;;;";0.0;0;255.0;711.41;63.0;12.79;77.45;4.76
"2022-01-05 09:00:00;;;;;;;";0.0;0;130.0;2.57;129.0;13.7;72.2;5.66
"2022-01-05 10:00:00;;;;;;;";0.0;0;75.0;0.0;75.0;14.43;64.85;6.62
"2022-01-05 11:00:00;;;;;;;";0.0;0;446.0;530.59;184.0;14.95;62.65;6.83
"2022-01-05 12:00:00;;;;;;;";0.0;0;449.0;643.12;145.0;15.16;60.5;6.62
"2022-01-05 13:00:00;;;;;;;";0.0;0;391.0;721.5;100.0;15.18;56.25;6.34
"2022-01-05 14:00:00;;;;;;;";0.0;0;268.0;671.45;73.0;14.93;52.15;6.07
"2022-01-05 15:00:00;;;;;;;";0.0;0;103.0;395.33;47.0;14.27;50.1;5.79
"2022-01-05 16:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;13.2;49.85;5.52
"2022-01-05 17:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;12.29;49.6;5.38
"2022-01-05 18:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;11.7;51.35;5.52
"2022-01-05 19:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;11.91;49.45;6.14
"2022-01-05 20:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;11.69;47.6;7.03
"2022-01-05 21:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;11.43;40.65;7.93
"2022-01-05 22:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;11.12;37.6;8.28
"2022-01-05 23:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;10.86;38.95;8.28
"2022-01-06 00:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;10.59;38.95;7.86
"2022-01-06 01:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;10.28;40.4;7.45
"2022-01-06 02:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;9.97;40.4;7.31
"2022-01-06 03:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;9.66;41.85;7.17
"2022-01-06 04:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;9.39;43.4;7.1
"2022-01-06 05:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;9.11;43.4;6.9
"2022-01-06 06:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;8.88;45.0;6.76
"2022-01-06 07:00:00;;;;;;;";0.0;0;86.0;419.64;37.0;9.6;43.55;5.86
"2022-01-06 08:00:00;;;;;;;";0.0;0;251.0;658.09;73.0;9.88;45.25;6.21
"2022-01-06 09:00:00;;;;;;;";0.0;0;391.0;772.23;90.0;10.37;43.7;7.1
"2022-01-06 10:00:00;;;;;;;";0.0;0;488.0;844.51;94.0;10.73;42.15;7.38
"2022-01-06 11:00:00;;;;;;;";0.0;0;524.0;859.69;98.0;10.89;42.15;7.52
"2022-01-06 12:00:00;;;;;;;";0.0;0;498.0;846.74;96.0;10.84;43.8;7.59
"2022-01-06 13:00:00;;;;;;;";0.0;0;415.0;811.02;86.0;10.55;43.8;7.52
"2022-01-06 14:00:00;;;;;;;";0.0;0;276.0;686.15;75.0;10.13;47.2;7.38
"2022-01-06 15:00:00;;;;;;;";0.0;0;110.0;450.53;45.0;9.58;48.95;6.9
"2022-01-06 16:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;8.93;52.7;6.21
"2022-01-06 17:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;8.46;54.65;5.79
"2022-01-06 18:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;8.22;56.7;5.45
"2022-01-06 19:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;8.7;56.8;5.1
"2022-01-06 20:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;8.59;56.8;4.62
"2022-01-06 21:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;8.44;59.0;4.14
"2022-01-06 22:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;8.18;61.2;3.66
"2022-01-06 23:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;7.97;63.6;3.45
"2022-01-07 00:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;7.82;63.6;3.52
"2022-01-07 01:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;7.79;63.6;3.59
"2022-01-07 02:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;7.77;66.05;3.59
"2022-01-07 03:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;7.68;66.05;3.45
"2022-01-07 04:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;7.51;66.05;3.1
"2022-01-07 05:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;7.26;68.5;2.76
"2022-01-07 06:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;7.05;68.5;2.34
"2022-01-07 07:00:00;;;;;;;";0.0;0;86.0;426.89;36.0;6.95;71.15;1.86
"2022-01-07 08:00:00;;;;;;;";0.0;0;255.0;696.95;66.0;8.24;76.8;1.45
"2022-01-07 09:00:00;;;;;;;";0.0;0;390.0;775.21;87.0;10.51;64.1;1.59
"2022-01-07 10:00:00;;;;;;;";0.0;0;485.0;837.59;93.0;11.99;59.85;2.55
"2022-01-07 11:00:00;;;;;;;";0.0;0;515.0;832.39;101.0;12.98;60.05;3.79
"2022-01-07 12:00:00;;;;;;;";0.0;0;490.0;819.83;99.0;13.52;58.0;4.62
"2022-01-07 13:00:00;;;;;;;";0.0;0;407.0;774.33;91.0;13.66;58.0;5.45
"2022-01-07 14:00:00;;;;;;;";0.0;0;224.0;334.97;125.0;13.52;58.0;5.79
"2022-01-07 15:00:00;;;;;;;";0.0;0;113.0;469.47;44.0;13.08;60.05;5.03
"2022-01-07 16:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;12.38;64.45;4.41
"2022-01-07 17:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;11.71;69.25;3.93
"2022-01-07 18:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;11.37;71.75;3.59
"2022-01-07 19:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;11.12;71.75;3.72
"2022-01-07 20:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;10.93;77.15;3.31
"2022-01-07 21:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;10.71;77.15;2.97
"2022-01-07 22:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;10.47;77.15;2.62
"2022-01-07 23:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;10.32;79.95;2.34
"2022-01-08 00:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;10.14;79.95;2.07
"2022-01-08 01:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;9.64;82.9;1.45
"2022-01-08 02:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;8.78;89.1;1.24
"2022-01-08 03:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;8.2;92.4;1.31
"2022-01-08 04:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;7.55;89.05;1.38
"2022-01-08 05:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;7.89;89.05;1.38
"2022-01-08 06:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;8.02;89.05;1.59
"2022-01-08 07:00:00;;;;;;;";0.0;0;19.0;0.0;19.0;9.01;89.1;2.0
"2022-01-08 08:00:00;;;;;;;";0.0;0;117.0;29.41;109.0;9.87;89.15;1.93
"2022-01-08 09:00:00;;;;;;;";0.0;0;150.0;7.65;147.0;10.82;83.0;2.48
"2022-01-08 10:00:00;;;;;;;";0.0;0;425.0;557.94;163.0;11.78;77.3;3.38
"2022-01-08 11:00:00;;;;;;;";0.0;0;424.0;436.6;206.0;12.32;71.95;4.41
"2022-01-08 12:00:00;;;;;;;";0.0;0;479.0;782.56;104.0;12.38;69.35;4.41
"2022-01-08 13:00:00;;;;;;;";0.0;0;269.0;170.47;199.0;12.25;66.85;4.48
"2022-01-08 14:00:00;;;;;;;";0.0;0;195.0;197.82;136.0;12.24;64.45;4.41
"2022-01-08 15:00:00;;;;;;;";0.0;0;113.0;460.78;44.0;12.28;64.45;4.34
"2022-01-08 16:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;12.12;66.85;4.41
"2022-01-08 17:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;11.89;71.85;4.55
"2022-01-08 18:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;11.54;71.85;4.76
"2022-01-08 19:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;10.78;77.15;3.86
"2022-01-08 20:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;10.31;77.1;3.86
"2022-01-08 21:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;9.9;79.9;3.86
"2022-01-08 22:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;9.69;77.0;3.72
"2022-01-08 23:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;9.37;79.85;3.66
"2022-01-09 00:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;8.99;76.95;3.66
"2022-01-09 01:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;8.46;79.75;3.66
"2022-01-09 02:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;8.06;79.7;3.52
"2022-01-09 03:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;7.66;76.8;3.45
"2022-01-09 04:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;7.22;76.7;3.24
"2022-01-09 05:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;6.92;76.7;3.17
"2022-01-09 06:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;6.73;76.65;3.03
"2022-01-09 07:00:00;;;;;;;";0.0;0;84.0;397.75;37.0;7.27;76.7;2.55
"2022-01-09 08:00:00;;;;;;;";0.0;0;249.0;648.54;72.0;8.85;76.85;2.14
"2022-01-09 09:00:00;;;;;;;";0.0;0;387.0;755.03;90.0;11.5;64.35;2.0
"2022-01-09 10:00:00;;;;;;;";0.0;0;471.0;766.0;110.0;12.77;51.65;2.28
