;NORD;CNOR;CSUD;SUD;CALA;SICI;SARD
NORD;0;10000;10000;10000;10000;10000;10000
CNOR;10000;0;10000;10000;10000;10000;10000
CSUD;10000;10000;0;10000;10000;10000;10000
SUD;10000;10000;10000;0;10000;10000;10000
CALA;10000;10000;10000;10000;0;10000;10000
SICI;10000;10000;10000;10000;10000;0;10000
SARD;10000;10000;10000;10000;10000;10000;0
